periode,alle,landbouw_bosbouw_visserij,delfstoffen,industrie,energie,water_afval,bouwen,autoindustrie,vervoer_over_land,logiesverstrekking,uitgeverijen_film_tv,bankwezen,onroerend_goed,management_advies_technisch,verhuurbedrijven,overheidsdiensten,onderwijs,gezondheidszorg,kunst,hobbyverenigingen,huishoudelijk_personeel,extraterritoriaal
2012 3e kwartaal,1358745,68440,345,54925,770,1255,139310,29755,16035,7070,15620,63160,24675,176260,8335,785,49860,74260,57645,11850,15,10
2012 4e kwartaal,1362175,68255,345,55060,775,1265,139790,29800,16105,7110,15760,61060,24160,176420,8360,785,50700,74900,58075,11590,15,5
2013 1e kwartaal,1365650,68945,345,55670,785,1235,139040,29245,16095,7155,15875,61330,24200,177880,8320,785,51530,75600,58560,11600,15,5
2013 2e kwartaal,1373715,68910,355,55610,805,1240,138700,29170,16135,7180,15985,63140,24240,179785,8285,760,52505,76380,59160,11780,15,5
2013 3e kwartaal,1392480,69125,375,55875,815,1265,139140,29245,16265,7230,16255,64565,23995,183850,8355,780,54175,78020,60210,11865,15,5
2013 4e kwartaal,1394290,68825,375,55865,820,1265,139550,29250,16330,7245,16305,62580,23565,183145,8320,780,54885,78945,60690,11625,15,5
2014 1e kwartaal,1401570,68710,360,56340,830,1290,140045,29615,16405,7290,16585,62335,23475,184525,8355,785,55790,79995,61340,11640,15,5
2014 2e kwartaal,1420010,68265,370,56695,900,1310,140845,29675,16290,7305,16830,67230,23545,185955,8275,790,57265,80475,62440,11960,5,5
2014 3e kwartaal,1437370,68350,375,57165,920,1330,141625,29850,16425,7395,17150,67500,23620,189475,8270,765,58945,82150,63565,11830,5,5
2014 4e kwartaal,1454080,69275,385,57600,955,1350,143145,30100,16625,7540,17410,65570,23690,191655,8310,770,60140,83860,64485,11835,5,5
2015 1e kwartaal*,1468250,69755,400,57915,935,1375,144890,30175,16660,7585,17600,66135,23830,193110,8200,770,61315,84885,65530,11835,5,5
2015 2e kwartaal*,1480090,70285,415,58100,955,1420,145260,30260,16770,7600,17805,68250,24065,194790,8175,750,62420,85330,66240,11975,5,5
2015 3e kwartaal*,1506225,70880,395,58780,965,1460,147420,30605,16925,7670,18145,69865,24335,198765,8040,755,63990,89905,67260,12180,5,5
2015 4e kwartaal*,1523635,71960,400,59375,985,1505,149825,30910,17065,7810,18410,67955,24330,200530,8175,750,65340,91735,68175,12085,5,5
2016 1e kwartaal*,1536050,72200,395,59645,985,1535,151485,30980,17150,7835,18540,68375,24395,202090,8205,755,66400,92945,69110,11995,5,5
2016 2e kwartaal*,1549680,72750,410,60000,1010,1560,152620,31060,17370,7890,18885,70485,24715,205260,8450,720,67920,93885,70240,12235,5,5